id,prediccion
1001,-1
1002,-1
1021,-1
1025,-1
1032,-1
1036,-1
1038,-1
1052,-1
1059,-1
1060,-1
1063,-1
1070,-1
1080,-1
1081,-1
1085,-1
1093,-1
1098,-1
1101,-1
1103,-1
1105,-1
1109,-1
1111,-1
1133,-1
1134,-1
1137,-1
1138,-1
1139,-1
1140,-1
1152,-1
1153,-1
1158,-1
1176,-1
1183,-1
1188,-1
1189,-1
1190,-1
1194,-1
1196,-1
1198,-1
1202,-1
1206,-1
1208,-1
1216,-1
1229,-1
1230,-1
1231,-1
1248,-1
1257,-1
1264,-1
1270,-1
1272,-1
1279,-1
1280,-1
1297,-1
1300,-1
1302,-1
1312,-1
1314,-1
1327,-1
1329,-1
1331,-1
1341,-1
1349,-1
1350,-1
1353,-1
1361,-1
1362,-1
1365,-1
1367,-1
1368,-1
1377,-1
1392,-1
1394,-1
1405,-1
1407,-1
1410,-1
1428,-1
1430,-1
1435,-1
1452,-1
1462,-1
1463,-1
1479,-1
1493,-1
1498,-1
1506,-1
1507,-1
1514,-1
1520,-1
1526,-1
1534,-1
1553,-1
1559,-1
1565,-1
1567,-1
1572,-1
1585,-1
1591,-1
1598,-1
1611,-1
1618,-1
1621,-1
1623,-1
1626,-1
1630,-1
1632,-1
1637,-1
1653,-1
1656,-1
1660,-1
1663,-1
1666,-1
1679,-1
1680,-1
1690,-1
1694,-1
1698,-1
1713,-1
1731,-1
1748,-1
1757,-1
1760,-1
1762,-1
1767,-1
1770,-1
1779,-1
1784,-1
1786,-1
1789,-1
1795,-1
1802,-1
1811,-1
1834,-1
1837,-1
1854,-1
1855,-1
1861,-1
1867,-1
1871,-1
1881,-1
1887,-1
1901,-1
1909,-1
1910,-1
1916,-1
1921,-1
1934,-1
1937,-1
1944,-1
1947,-1
1949,-1
1957,-1
1959,-1
