id,prediccion
100001,-1
100004,-1
100009,-1
100013,-1
100014,-1
100026,-1
100029,-1
100031,-1
100043,-1
100045,-1
100048,-1
100061,-1
100066,-1
100078,-1
100080,-1
100081,-1
100086,-1
100094,-1
100104,-1
100112,-1
100121,-1
100128,-1
100133,-1
100134,-1
100138,-1
100155,-1
100157,-1
100163,-1
100165,-1
100173,-1
100178,-1
100183,-1
100187,-1
100188,-1
100198,-1
100201,-1
100207,-1
100210,-1
100213,-1
100214,-1
100215,-1
100224,-1
100225,-1
100226,-1
100233,-1
100235,-1
100236,-1
100240,-1
100241,-1
100245,-1
100255,-1
100256,-1
100263,-1
100267,-1
100271,-1
100278,-1
100283,-1
100294,-1
100295,-1
100297,-1
100311,-1
100312,-1
100314,-1
100321,-1
100324,-1
100343,-1
100344,-1
100349,-1
100350,-1
100351,-1
100352,-1
100360,-1
100364,-1
100365,-1
100366,-1
100367,-1
100372,-1
100378,-1
100402,-1
100404,-1
100407,-1
100409,-1
100414,-1
100421,-1
100422,-1
100430,-1
100433,-1
100447,-1
100449,-1
100472,-1
100473,-1
100477,-1
100484,-1
100492,-1
100502,-1
100504,-1
100511,-1
100519,-1
100523,-1
100524,-1
100531,-1
100532,-1
100538,-1
100539,-1
100543,-1
100544,-1
100554,-1
100555,-1
100557,-1
100560,-1
100569,-1
100573,-1
100576,-1
100578,-1
100581,-1
100590,-1
100605,-1
100607,-1
100608,-1
100611,-1
100615,-1
100618,-1
100621,-1
100626,-1
100627,-1
100647,-1
100661,-1
100672,-1
100679,-1
100680,-1
100696,-1
100707,-1
100711,-1
100733,-1
100743,-1
100749,-1
100751,-1
100762,-1
100770,-1
100782,-1
100789,-1
100798,-1
100813,-1
100814,-1
100817,-1
100831,-1
100839,-1
100844,-1
100851,-1
100853,-1
100859,-1
100879,-1
100890,-1
100891,-1
100896,-1
100903,-1
100905,-1
100906,-1
100907,-1
100911,-1
100921,-1
100924,-1
100932,-1
100934,-1
100948,-1
100957,-1
100977,-1
100986,-1
101004,-1
101010,-1
101015,-1
101022,-1
101026,-1
101027,-1
101032,-1
101038,-1
101048,-1
101055,-1
101066,-1
101067,-1
101076,-1
101078,-1
101079,-1
101085,-1
101098,-1
101103,-1
101113,-1
101116,-1
101120,-1
101121,-1
101127,-1
101129,-1
101133,-1
101142,-1
101160,-1
101161,-1
101181,-1
101187,-1
101190,-1
101201,-1
101203,-1
101205,-1
101208,-1
101235,-1
101240,-1
101252,-1
101259,-1
101264,-1
101277,-1
101297,-1
101304,-1
101307,-1
101315,-1
101331,-1
101334,-1
101372,-1
101374,-1
101394,-1
101402,-1
101404,-1
101406,-1
101411,-1
101415,-1
101420,-1
101424,-1
101432,-1
101465,-1
101466,-1
101467,-1
101483,-1
101497,-1
101500,-1
101502,-1
101531,-1
101532,-1
101541,-1
101543,-1
101544,-1
101545,-1
101546,-1
101548,-1
101554,-1
101559,-1
101562,-1
101591,-1
101592,-1
101593,-1
101594,-1
101606,-1
101613,-1
101619,-1
101620,-1
101623,-1
101624,-1
101629,-1
101638,-1
101641,-1
101646,-1
101650,-1
101651,-1
101654,-1
101655,-1
101664,-1
101665,-1
101687,-1
101690,-1
101694,-1
101696,-1
101701,-1
101702,-1
101703,-1
101705,-1
101706,-1
101712,-1
101718,-1
101719,-1
